,Local Government Area,Year,"Rate per 100,000 population"
0,alpine,2015,3572.290610669
1,alpine,2016,3378.915566863
2,alpine,2017,2987.309844723
3,alpine,2018,3899.547652472
4,alpine,2019,4657.470551767
5,alpine,2020,4557.989888157
6,alpine,2021,4033.11560079
7,alpine,2022,4139.185808506
8,alpine,2023,3315.126687908
9,alpine,2024,3820.366193236
790,alpine,2025,3763.0894271642187
869,alpine,2026,3723.349451633885
948,alpine,2027,3695.776916320486
10,ararat,2015,9773.273789076
11,ararat,2016,10412.941677309
12,ararat,2017,11054.594777891
13,ararat,2018,10910.631088522
14,ararat,2019,10998.479472884
15,ararat,2020,11679.812049002
16,ararat,2021,15160.226600152
17,ararat,2022,10639.564551795
18,ararat,2023,11880.510142943
19,ararat,2024,11863.434643259
791,ararat,2025,12743.128051157075
870,ararat,2026,11863.438666417738
949,ararat,2027,12743.124028016737
20,ballarat,2015,10860.375052967
21,ballarat,2016,11223.188405797
22,ballarat,2017,11335.752385103
23,ballarat,2018,10614.452457066
24,ballarat,2019,9909.540597415
25,ballarat,2020,9962.828608536
26,ballarat,2021,8558.288694672
27,ballarat,2022,9013.800415478
28,ballarat,2023,9680.286447091
29,ballarat,2024,10624.516865989
792,ballarat,2025,10734.777347134932
871,ballarat,2026,10751.5820526605
950,ballarat,2027,10754.143243441333
30,banyule,2015,7097.424021318
31,banyule,2016,7858.16849357
32,banyule,2017,7505.829317581
33,banyule,2018,7468.857264067
34,banyule,2019,7009.578353381
35,banyule,2020,7440.864506424
36,banyule,2021,6660.909162283
37,banyule,2022,5743.680695614
38,banyule,2023,6046.974583726
39,banyule,2024,6708.126083422
793,banyule,2025,6667.3366085338075
872,banyule,2026,6634.830579018808
951,banyule,2027,6608.925809277926
40,bass coast,2015,7978.266208251
41,bass coast,2016,9060.482907005
42,bass coast,2017,7617.704616093
43,bass coast,2018,6013.912368705
44,bass coast,2019,6538.461538462
45,bass coast,2020,6649.550706033
46,bass coast,2021,7778.733866011
47,bass coast,2022,7081.529667807
48,bass coast,2023,6534.203936437
49,bass coast,2024,7660.112632396
794,bass coast,2025,7311.166937882893
873,bass coast,2026,7112.38853495296
952,bass coast,2027,6999.153570049588
50,baw baw,2015,7487.927754667
51,baw baw,2016,8388.104511522
52,baw baw,2017,7609.614212998
53,baw baw,2018,7777.375255019
54,baw baw,2019,8722.038225988
55,baw baw,2020,8596.84680645
56,baw baw,2021,8447.013086188
57,baw baw,2022,7026.333991261
58,baw baw,2023,7215.882857331
59,baw baw,2024,7980.09941692
795,baw baw,2025,8007.254702335753
874,baw baw,2026,7998.604606719824
953,baw baw,2027,8001.360024422829
60,bayside,2015,4232.334004819
61,bayside,2016,4931.397699005
62,bayside,2017,4976.607340954
63,bayside,2018,4556.359500301
64,bayside,2019,4605.813865003
65,bayside,2020,5136.262355025
66,bayside,2021,4686.889218982
67,bayside,2022,4448.31329897
68,bayside,2023,5181.640325303
69,bayside,2024,4953.812532763
796,bayside,2025,4629.307479629605
875,bayside,2026,4753.284414208084
954,bayside,2027,4705.919110774247
70,benalla,2015,7778.49601379
71,benalla,2016,10863.967958804
72,benalla,2017,9317.389138017
73,benalla,2018,9238.593021613
74,benalla,2019,9074.945564375
75,benalla,2020,8489.77889028
76,benalla,2021,10169.02188972
77,benalla,2022,9119.822996612
78,benalla,2023,10269.116938537
79,benalla,2024,11454.588159133
797,benalla,2025,10841.167514048064
876,benalla,2026,11211.854198004094
955,benalla,2027,10987.8502966628
80,boroondara,2015,3767.031181153
81,boroondara,2016,4548.839098355
82,boroondara,2017,4673.943464875
83,boroondara,2018,3819.696074387
84,boroondara,2019,4044.238379633
85,boroondara,2020,4947.8566409
86,boroondara,2021,4271.772611889
87,boroondara,2022,4156.644972647
88,boroondara,2023,4419.693245558
89,boroondara,2024,4355.176905533
798,boroondara,2025,4313.202012032289
877,boroondara,2026,4299.263995022603
956,boroondara,2027,4294.635792257562
90,brimbank,2015,9036.642437519
91,brimbank,2016,9600.861942309
92,brimbank,2017,8665.993906344
93,brimbank,2018,8901.955289718
94,brimbank,2019,9055.428469176
95,brimbank,2020,9907.792354062
96,brimbank,2021,9773.128347005
97,brimbank,2022,8461.570282121
98,brimbank,2023,8736.214969956
99,brimbank,2024,8856.435232026
799,brimbank,2025,8630.954037259067
878,brimbank,2026,8743.20545032329
957,brimbank,2027,8687.323274659198
100,buloke,2015,3647.320012686
101,buloke,2016,4026.098026735
102,buloke,2017,2845.201736055
103,buloke,2018,3974.89539749
104,buloke,2019,4103.146286085
105,buloke,2020,5945.419103314
106,buloke,2021,6702.544031311
107,buloke,2022,5065.359477124
108,buloke,2023,6887.417218543
109,buloke,2024,6271.252462772
800,buloke,2025,6366.3522924670815
879,buloke,2026,6356.476635966084
958,buloke,2027,6357.502175040532
110,campaspe,2015,8028.53402442
111,campaspe,2016,9461.364543157
112,campaspe,2017,9362.681552422
113,campaspe,2018,9407.610414251
114,campaspe,2019,10818.8208141
115,campaspe,2020,10094.061856745
116,campaspe,2021,8577.134557527
117,campaspe,2022,8514.887436456
118,campaspe,2023,9940.207316118
119,campaspe,2024,10603.287869207
801,campaspe,2025,10604.274493362916
880,campaspe,2026,10604.200679423346
959,campaspe,2027,10604.2062017873
120,cardinia,2015,6861.470454398
121,cardinia,2016,7850.532421879
122,cardinia,2017,6460.130258757
123,cardinia,2018,5412.127729207
124,cardinia,2019,5615.078302173
125,cardinia,2020,6066.692416634
126,cardinia,2021,5924.414374483
127,cardinia,2022,4973.169563488
128,cardinia,2023,5174.858223062
129,cardinia,2024,6013.873023855
802,cardinia,2025,6096.985834748414
881,cardinia,2026,6089.138941860786
960,cardinia,2027,6089.879787072589
130,casey,2015,6492.548275954
131,casey,2016,7279.028354578
132,casey,2017,7231.35536366
133,casey,2018,5977.455507014
134,casey,2019,6141.656676307
135,casey,2020,6526.636810726
136,casey,2021,5743.888645355
137,casey,2022,5160.589178695
138,casey,2023,5686.924587488
139,casey,2024,6160.965109767
803,casey,2025,6206.9259825394865
882,casey,2026,6198.044894638118
961,casey,2027,6199.761000481066
140,central goldfields,2015,8324.324324324
141,central goldfields,2016,12065.40842057
142,central goldfields,2017,9295.454545455
143,central goldfields,2018,12025.506376594
144,central goldfields,2019,9880.889954304
145,central goldfields,2020,9297.955502105
146,central goldfields,2021,8335.823125187
147,central goldfields,2022,8579.881656805
148,central goldfields,2023,8398.408722558
149,central goldfields,2024,10806.677612284
804,central goldfields,2025,10804.132604442713
883,central goldfields,2026,10806.677607971926
962,central goldfields,2027,10804.13260875478
150,colac-otway,2015,6354.215732454
151,colac-otway,2016,8716.412320944
152,colac-otway,2017,9701.319749942
153,colac-otway,2018,7267.561746781
154,colac-otway,2019,7228.751644961
155,colac-otway,2020,7995.869623777
156,colac-otway,2021,6844.771168587
157,colac-otway,2022,7135.777998018
158,colac-otway,2023,6986.036905671
159,colac-otway,2024,7611.264518945
805,colac-otway,2025,7835.127595958277
884,colac-otway,2026,7697.068633148407
963,colac-otway,2027,7782.211200946699
160,corangamite,2015,3920.363770431
161,corangamite,2016,4986.763528905
162,corangamite,2017,6634.314147061
163,corangamite,2018,5230.731316616
164,corangamite,2019,4044.276791788
165,corangamite,2020,4413.955798361
166,corangamite,2021,5358.702432938
167,corangamite,2022,5112.819551222
168,corangamite,2023,4339.102081766
169,corangamite,2024,5128.493143739
806,corangamite,2025,4999.740736594029
885,corangamite,2026,4885.892211877908
964,corangamite,2027,4785.222353601449
170,darebin,2015,9472.014949926
171,darebin,2016,10686.151902325
172,darebin,2017,10448.810094234
173,darebin,2018,9343.551682654
