lga,year,lga_population
alpine,2013.0,12283.0
alpine,2014.0,12355.0
alpine,2015.0,12429.0
alpine,2016.0,12578.0
alpine,2017.0,12687.0
alpine,2018.0,12822.0
alpine,2019.0,12904.0
alpine,2020.0,13054.0
alpine,2021.0,13166.0
alpine,2022.0,13191.0
alpine,2023.0,13182.0
alpine,2024.0,13182.919946031217
alpine,2025.0,13183.714225660953
alpine,2026.0,13184.40000516193
alpine,2027.0,13184.992105860918
ararat,2013.0,11490.0
ararat,2014.0,11560.0
ararat,2015.0,11644.0
ararat,2016.0,11745.0
ararat,2017.0,11796.0
ararat,2018.0,11805.0
ararat,2019.0,11838.0
ararat,2020.0,11918.0
ararat,2021.0,11827.0
ararat,2022.0,11758.0
ararat,2023.0,11683.0
ararat,2024.0,11633.718762418066
ararat,2025.0,11597.322066863331
ararat,2026.0,11570.441259637222
ararat,2027.0,11550.58841898468
ballarat,2013.0,98344.0
ballarat,2014.0,99914.0
ballarat,2015.0,101479.0
ballarat,2016.0,103500.0
ballarat,2017.0,105551.0
ballarat,2018.0,107608.0
ballarat,2019.0,109773.0
ballarat,2020.0,111645.0
ballarat,2021.0,113504.0
ballarat,2022.0,116011.0
ballarat,2023.0,118137.0
ballarat,2024.0,120111.15093741348
ballarat,2025.0,122085.20083745311
ballarat,2026.0,124059.14970529001
ballarat,2027.0,126032.99754609502
banyule,2013.0,124314.0
banyule,2014.0,125107.0
banyule,2015.0,126088.0
banyule,2016.0,127447.0
banyule,2017.0,128660.0
banyule,2018.0,129645.0
banyule,2019.0,130607.0
banyule,2020.0,130294.0
banyule,2021.0,127370.0
banyule,2022.0,127427.0
banyule,2023.0,129602.0
banyule,2024.0,129732.25088706095
banyule,2025.0,129836.17971394827
banyule,2026.0,129919.10583677092
banyule,2027.0,129985.2736369122
bass coast,2013.0,31331.0
bass coast,2014.0,31917.0
bass coast,2015.0,32576.0
bass coast,2016.0,33464.0
bass coast,2017.0,34748.0
bass coast,2018.0,36083.0
bass coast,2019.0,37440.0
bass coast,2020.0,38950.0
bass coast,2021.0,40675.0
bass coast,2022.0,41813.0
bass coast,2023.0,42729.0
bass coast,2024.0,43863.45342578972
bass coast,2025.0,44997.861039844436
bass coast,2026.0,46132.222844014126
bass coast,2027.0,47266.5388401487
baw baw,2013.0,45627.0
baw baw,2014.0,46644.0
baw baw,2015.0,47837.0
baw baw,2016.0,49296.0
baw baw,2017.0,50883.0
baw baw,2018.0,52447.0
baw baw,2019.0,54047.0
baw baw,2020.0,55753.0
baw baw,2021.0,57618.0
baw baw,2022.0,59277.0
baw baw,2023.0,60644.0
baw baw,2024.0,62143.90700375005
baw baw,2025.0,63643.806385757875
baw baw,2026.0,65143.6981460622
baw baw,2027.0,66643.58228470176
bayside,2013.0,98252.0
bayside,2014.0,99797.0
bayside,2015.0,101268.0
bayside,2016.0,102912.0
bayside,2017.0,103665.0
bayside,2018.0,104623.0
bayside,2019.0,105128.0
bayside,2020.0,105018.0
bayside,2021.0,102328.0
bayside,2022.0,102241.0
bayside,2023.0,104272.0
bayside,2024.0,104353.22882810097
bayside,2025.0,104411.5096393674
bayside,2026.0,104453.32549515757
bayside,2027.0,104483.32792232814
benalla,2013.0,13878.0
benalla,2014.0,13898.0
benalla,2015.0,13923.0
benalla,2016.0,13982.0
benalla,2017.0,14049.0
benalla,2018.0,14158.0
benalla,2019.0,14237.0
benalla,2020.0,14382.0
benalla,2021.0,14436.0
benalla,2022.0,14463.0
benalla,2023.0,14529.0
benalla,2024.0,14578.460739113356
benalla,2025.0,14623.194567339915
benalla,2026.0,14663.653230588297
benalla,2027.0,14700.245301885117
boroondara,2013.0,170485.0
boroondara,2014.0,172660.0
boroondara,2015.0,174753.0
boroondara,2016.0,177276.0
boroondara,2017.0,178650.0
boroondara,2018.0,179386.0
boroondara,2019.0,179663.0
boroondara,2020.0,177875.0
boroondara,2021.0,169789.0
boroondara,2022.0,169632.0
boroondara,2023.0,174537.0
boroondara,2024.0,174584.46840238845
boroondara,2025.0,174613.47104323882
boroondara,2026.0,174631.1913189164
boroondara,2027.0,174642.0182009134
brimbank,2013.0,196169.0
brimbank,2014.0,198468.0
brimbank,2015.0,200860.0
brimbank,2016.0,204190.0
brimbank,2017.0,206116.0
brimbank,2018.0,206977.0
brimbank,2019.0,206771.0
brimbank,2020.0,204213.0
brimbank,2021.0,196631.0
brimbank,2022.0,193392.0
brimbank,2023.0,196046.0
brimbank,2024.0,196022.21436650315
brimbank,2025.0,196007.83417803422
brimbank,2026.0,195999.14028218194
brimbank,2027.0,195993.884174082
buloke,2013.0,6388.0
buloke,2014.0,6335.0
buloke,2015.0,6306.0
buloke,2016.0,6284.0
buloke,2017.0,6221.0
buloke,2018.0,6214.0
buloke,2019.0,6166.0
buloke,2020.0,6156.0
buloke,2021.0,6132.0
buloke,2022.0,6120.0
buloke,2023.0,6040.0
buloke,2024.0,6007.482633018148
buloke,2025.0,5974.965448308553
buloke,2026.0,5942.4484458701945
buloke,2027.0,5909.931625702049
campaspe,2013.0,37213.0
campaspe,2014.0,37338.0
campaspe,2015.0,37429.0
campaspe,2016.0,37595.0
campaspe,2017.0,37799.0
campaspe,2018.0,37948.0
campaspe,2019.0,38128.0
campaspe,2020.0,38379.0
campaspe,2021.0,38556.0
campaspe,2022.0,38556.0
campaspe,2023.0,38299.0
campaspe,2024.0,38036.61546222667
campaspe,2025.0,37941.99948574206
campaspe,2026.0,37907.880924175486
campaspe,2027.0,37895.577756289655
cardinia,2013.0,84591.0
cardinia,2014.0,88070.0
cardinia,2015.0,92298.0
cardinia,2016.0,97573.0
cardinia,2017.0,102258.0
cardinia,2018.0,106945.0
cardinia,2019.0,112002.0
cardinia,2020.0,116505.0
cardinia,2021.0,119573.0
cardinia,2022.0,123181.0
cardinia,2023.0,126960.0
cardinia,2024.0,130815.30383050418
cardinia,2025.0,134608.18225562613
cardinia,2026.0,138339.64607280452
cardinia,2027.0,142010.68971256044
casey,2013.0,278023.0
casey,2014.0,287937.0
casey,2015.0,299528.0
casey,2016.0,312789.0
casey,2017.0,324946.0
casey,2018.0,338087.0
casey,2019.0,352006.0
casey,2020.0,363970.0
casey,2021.0,369558.0
casey,2022.0,379104.0
casey,2023.0,392110.0
casey,2024.0,402767.9880999555
casey,2025.0,413297.8376672564
casey,2026.0,423701.08928192564
casey,2027.0,433979.2650019478
central goldfields,2013.0,12815.0
central goldfields,2014.0,12884.0
central goldfields,2015.0,12950.0
central goldfields,2016.0,13087.0
central goldfields,2017.0,13200.0
central goldfields,2018.0,13330.0
central goldfields,2019.0,13349.0
central goldfields,2020.0,13304.0
central goldfields,2021.0,13388.0
central goldfields,2022.0,13520.0
central goldfields,2023.0,13574.0
central goldfields,2024.0,13575.876090069163
central goldfields,2025.0,13576.40702054116
central goldfields,2026.0,13576.557273010767
central goldfields,2027.0,13576.599794217993
colac otway,2013.0,21035.0
colac otway,2014.0,21131.0
colac otway,2015.0,21230.0
colac otway,2016.0,21362.0
colac otway,2017.0,21595.0
colac otway,2018.0,21823.0
colac otway,2019.0,22037.0
colac otway,2020.0,22274.0
colac otway,2021.0,22309.0
colac otway,2022.0,22198.0
colac otway,2023.0,22273.0
colac otway,2024.0,22297.164525071727
colac otway,2025.0,22316.4606354777
colac otway,2026.0,22331.869168262612
