,suburb,num_primary,num_secondary_public,num_secondary_private,num_secondary_catholic,num_edu_centre,v_high_vcaa,high_vcaa,good_vcaa
0,abbotsford,2,0,1,0,0,0.0,0.0,0.0
1,aberfeldie,1,0,0,1,0,0.0,0.0,1.0
2,aintree,1,0,0,0,0,0.0,0.0,0.0
3,aireys inlet,1,0,0,0,0,0.0,0.0,0.0
4,airly,1,0,0,0,0,0.0,0.0,0.0
5,airport west,1,0,0,0,0,0.0,0.0,0.0
6,albanvale,1,0,0,0,0,0.0,0.0,0.0
7,albert park,2,1,0,0,0,0.0,0.0,1.0
8,alberton,1,0,0,0,0,0.0,0.0,0.0
9,albion,2,0,0,0,0,0.0,0.0,0.0
10,alexandra,2,1,0,0,0,0.0,0.0,0.0
11,alfredton,2,0,0,0,0,0.0,0.0,0.0
12,allansford,1,0,0,0,0,0.0,0.0,0.0
13,alphington,3,0,1,0,0,1.0,0.0,0.0
14,altona,3,1,0,1,0,0.0,0.0,1.0
15,altona meadows,3,0,0,0,0,0.0,0.0,0.0
16,altona north,2,0,0,1,0,0.0,0.0,1.0
17,alvie,1,0,0,0,0,0.0,0.0,0.0
18,amphitheatre,1,0,0,0,0,0.0,0.0,0.0
19,anakie,1,0,0,0,0,0.0,0.0,0.0
20,anglesea,1,0,0,0,0,0.0,0.0,0.0
21,apollo bay,1,1,0,0,0,0.0,1.0,0.0
22,apsley,1,0,0,0,0,0.0,0.0,0.0
23,ararat,4,1,0,1,0,0.0,0.0,1.0
24,ardeer,2,0,0,0,0,0.0,0.0,0.0
25,ardmona,1,0,0,0,0,0.0,0.0,0.0
26,armadale,3,0,2,0,0,2.0,0.0,0.0
27,armstrong creek,3,1,1,0,0,0.0,0.0,2.0
28,arthurs creek,1,0,0,0,0,0.0,0.0,0.0
29,ascot vale,3,0,0,0,1,0.0,0.0,0.0
30,ashburton,3,0,0,0,0,0.0,0.0,0.0
31,ashwood,1,1,0,0,2,0.0,1.0,0.0
32,aspendale,2,0,0,0,1,0.0,0.0,0.0
33,aspendale gardens,1,0,0,0,0,0.0,0.0,0.0
34,avenel,1,0,0,0,0,0.0,0.0,0.0
35,avoca,1,0,0,0,0,0.0,0.0,0.0
36,avondale heights,2,0,0,0,0,0.0,0.0,0.0
37,axe creek,1,0,0,0,0,0.0,0.0,0.0
38,axedale,1,0,0,0,0,0.0,0.0,0.0
39,bacchus marsh,4,1,1,0,0,0.0,1.0,0.0
40,bairnsdale,5,1,1,1,1,0.0,0.0,0.0
41,ballan,2,0,0,0,0,0.0,0.0,0.0
42,ballarat,7,0,1,2,0,1.0,0.0,2.0
43,ballarat east,3,1,0,0,0,0.0,0.0,1.0
44,ballarat north,1,0,0,0,0,0.0,0.0,0.0
45,balliang east,1,0,0,0,0,0.0,0.0,0.0
46,balmoral,1,1,0,0,0,0.0,0.0,0.0
47,balnarring,1,0,0,0,0,0.0,0.0,0.0
48,balwyn,2,0,1,0,2,1.0,0.0,0.0
49,balwyn north,6,1,0,0,0,1.0,0.0,0.0
50,bandiana,1,0,0,0,0,0.0,0.0,0.0
51,bangholme,1,0,1,0,0,0.0,0.0,0.0
52,bannockburn,2,1,0,0,0,0.0,0.0,0.0
53,baranduda,2,0,0,0,0,0.0,0.0,0.0
54,barnawartha,1,0,0,0,0,0.0,0.0,0.0
55,barwon heads,1,0,0,0,0,0.0,0.0,0.0
56,baxter,1,0,0,0,0,0.0,0.0,0.0
57,bayles,1,0,0,0,0,0.0,0.0,0.0
58,bayswater,4,1,0,0,0,0.0,0.0,0.0
59,bayswater north,1,0,0,0,0,0.0,0.0,0.0
60,beaconsfield,1,0,0,1,0,0.0,0.0,0.0
61,beaconsfield upper,1,0,0,0,0,0.0,0.0,0.0
62,bealiba,1,0,0,0,0,0.0,0.0,0.0
63,beaufort,1,1,0,0,0,0.0,0.0,0.0
64,beaumaris,3,1,0,0,0,0.0,0.0,1.0
65,beeac,1,0,0,0,0,0.0,0.0,0.0
66,beechworth,3,1,0,0,0,0.0,0.0,0.0
67,belgrave,1,0,0,1,0,0.0,0.0,1.0
68,belgrave heights,1,0,1,0,0,0.0,0.0,0.0
69,belgrave south,1,0,0,0,0,0.0,0.0,0.0
70,bell park,2,0,0,0,1,0.0,0.0,0.0
71,bell post hill,3,0,2,0,0,0.0,1.0,0.0
72,bellbrae,1,0,0,0,0,0.0,0.0,0.0
73,bellfield,0,0,0,0,1,0.0,0.0,0.0
74,belmont,5,1,0,0,1,0.0,0.0,0.0
75,benalla,3,1,1,1,1,0.0,0.0,0.0
76,bendigo,7,3,2,1,2,1.0,0.0,0.0
77,bendigo north,1,0,0,0,0,0.0,0.0,0.0
78,bennettswood,1,0,0,0,0,0.0,0.0,0.0
79,bentleigh,3,0,0,1,0,0.0,1.0,0.0
80,bentleigh east,4,1,0,0,0,0.0,0.0,1.0
81,berwick,9,4,1,0,0,2.0,0.0,3.0
82,bethanga,1,0,0,0,0,0.0,0.0,0.0
83,beulah,1,0,0,0,0,0.0,0.0,0.0
84,beverford,1,0,0,0,0,0.0,0.0,0.0
85,beveridge,1,0,0,0,0,0.0,0.0,0.0
86,big hill,1,0,0,0,0,0.0,0.0,0.0
87,birchip,1,1,0,0,0,0.0,0.0,0.0
88,birregurra,1,0,0,0,0,0.0,0.0,0.0
89,bittern,1,0,0,0,0,0.0,0.0,0.0
90,black rock,2,0,0,0,0,0.0,0.0,0.0
91,blackburn,4,1,0,0,0,0.0,0.0,1.0
92,blackburn north,3,0,0,0,0,0.0,0.0,0.0
93,blackburn south,2,0,0,0,1,0.0,0.0,0.0
94,blowhard,1,0,0,0,0,0.0,0.0,0.0
95,bogong,1,1,0,0,0,0.0,0.0,0.0
96,boisdale,1,0,0,0,0,0.0,0.0,0.0
97,bolinda,1,0,0,0,0,0.0,0.0,0.0
98,bolwarra,1,0,0,0,0,0.0,0.0,0.0
99,bona vista,1,0,0,0,0,0.0,0.0,0.0
100,bonbeach,1,0,0,0,0,0.0,0.0,0.0
101,boneo,1,0,0,0,0,0.0,0.0,0.0
102,boolarra,1,0,0,0,0,0.0,0.0,0.0
103,boort,1,1,0,0,0,0.0,0.0,0.0
104,boronia,5,1,0,0,0,0.0,0.0,0.0
105,botanic ridge,1,0,0,0,0,0.0,0.0,0.0
106,box hill,2,1,1,1,0,0.0,0.0,3.0
107,box hill north,2,0,0,0,1,0.0,0.0,0.0
108,box hill south,1,0,0,0,0,0.0,0.0,0.0
109,branxholme,1,0,0,0,0,0.0,0.0,0.0
110,braybrook,2,1,0,1,1,1.0,0.0,1.0
111,briagolong,1,0,0,0,0,0.0,0.0,0.0
112,briar hill,2,0,0,0,0,0.0,0.0,0.0
113,bridgewater on loddon,1,0,0,0,0,0.0,0.0,0.0
114,bright,1,1,0,0,0,0.0,0.0,1.0
115,brighton,7,0,2,1,0,2.0,1.0,0.0
116,brighton east,3,1,1,0,0,1.0,1.0,0.0
117,broadford,1,1,0,0,0,0.0,0.0,0.0
118,broadmeadows,6,1,2,1,2,0.0,1.0,2.0
119,broken creek,1,0,0,0,0,0.0,0.0,0.0
120,brookfield,1,0,1,0,0,0.0,0.0,0.0
121,brooklyn,1,0,0,0,0,0.0,0.0,0.0
122,brown hill,1,0,0,0,0,0.0,0.0,0.0
123,brunswick,0,2,0,0,0,0.0,0.0,1.0
124,brunswick east,3,0,0,0,0,0.0,0.0,0.0
125,brunswick north,1,0,0,0,0,0.0,0.0,0.0
126,brunswick west,4,0,0,0,0,0.0,0.0,0.0
127,bruthen,1,0,0,0,0,0.0,0.0,0.0
128,buangor,1,0,0,0,0,0.0,0.0,0.0
129,buchan,1,0,0,0,0,0.0,0.0,0.0
130,bullarto,1,0,0,0,0,0.0,0.0,0.0
131,bulleen,1,0,0,1,1,0.0,0.0,1.0
132,buln buln,1,0,0,0,0,0.0,0.0,0.0
133,bundalaguah,1,0,0,0,0,0.0,0.0,0.0
134,bundoora,4,1,1,1,1,0.0,1.0,1.0
135,bungaree,1,0,0,0,0,0.0,0.0,0.0
136,buninyong,1,0,0,0,0,0.0,0.0,0.0
137,bunyip,2,0,0,0,0,0.0,0.0,0.0
138,burnside,1,0,0,0,0,0.0,0.0,0.0
139,burnside heights,1,0,0,0,0,0.0,0.0,0.0
140,burwood,3,0,2,0,0,2.0,0.0,0.0
141,burwood east,2,1,0,0,1,0.0,0.0,0.0
142,buxton,1,0,0,0,0,0.0,0.0,0.0
143,cabarita,1,0,0,0,0,0.0,0.0,0.0
144,cairnlea,1,1,0,0,0,0.0,0.0,1.0
145,california gully,1,0,0,0,0,0.0,0.0,0.0
146,camberwell,2,0,0,1,0,1.0,0.0,0.0
147,camberwell east,1,0,0,0,0,0.0,0.0,0.0
148,campbellfield,1,0,0,0,0,0.0,0.0,0.0
149,campbells creek,2,0,1,0,0,0.0,0.0,0.0
150,camperdown,2,1,0,1,0,0.0,0.0,0.0
151,cann river,1,1,0,0,0,0.0,0.0,0.0
152,canterbury,4,2,3,0,0,3.0,1.0,1.0
153,cape clear,1,0,0,0,0,0.0,0.0,0.0
154,capel sound,1,0,0,0,0,0.0,0.0,0.0
155,cardinia,1,0,0,0,0,0.0,0.0,0.0
156,cardross,1,0,0,0,0,0.0,0.0,0.0
157,carisbrook,1,0,0,0,0,0.0,0.0,0.0
158,carlisle river,1,0,0,0,0,0.0,0.0,0.0
159,carlton,2,0,0,0,0,0.0,0.0,0.0
160,carlton north,2,0,0,0,0,0.0,0.0,0.0
161,carnegie,1,0,0,0,0,0.0,0.0,0.0
