,suburb,lga
0,allambee,baw baw
1,ardmona,greater shepparton
2,arnold,loddon
3,barkly,pyrenees
4,baxter,mornington peninsula
5,beauchamp,gannawarra swan hill
6,bellarine,greater geelong
7,blackburn,whitehorse
8,bochara,southern grampians
9,boho south,benalla strathbogie
10,boomahnoomoonah,moira
11,broadmeadows,hume
12,buln buln,baw baw
13,buln buln east,baw baw
14,burkes flat,loddon
15,california gully,greater bendigo
16,ceres,greater geelong
17,clayton south,kingston
18,delacombe,ballarat
19,deptford,east gippsland
20,devils river,murrindindi
21,diamond creek,nillumbik
22,dingee,loddon
23,doctors flat,east gippsland
24,dunach,central goldfields hepburn
25,east bairnsdale,east gippsland
26,elmhurst,ararat pyrenees
27,flowerdale,mitchell murrindindi
28,geelong west,greater geelong
29,glenalbyn,loddon
30,glenisla,southern grampians
31,goroke,west wimmera
32,hallston,south gippsland
33,hattah,mildura
34,heathcote south,mitchell
35,hedley,south gippsland wellington
36,hernes oak,latrobe
37,homewood,murrindindi
38,howqua,mansfield
39,irrewillipe east,colac otway
40,ivanhoe,banyule
41,jan juc,surf coast
42,kennington,greater bendigo
43,kevington,mansfield
44,kiata,hindmarsh
45,kinglake central,murrindindi
46,kotupna,moira
47,kunat,swan hill
48,little river,greater geelong wyndham
49,lower plenty,banyule
50,lynbrook,casey
51,maindample,mansfield
52,maribyrnong,maribyrnong
53,mckinnon,glen eira
54,meadow creek,wangaratta
55,miowera,wellington
56,moe,baw baw latrobe
57,moggs creek,surf coast
58,monbulk,yarra ranges
59,mont albert north,whitehorse
60,montmorency,banyule
61,murchison,greater shepparton
62,myrtle creek,greater bendigo mount alexander
63,nanneella,campaspe
64,newington,ballarat
65,pascoe vale south,moreland
66,patterson lakes,kingston
67,pitfield,golden plains
68,purdeet,moyne
69,reedy flat,east gippsland
70,roslynmead,campaspe
71,sawmill settlement,mansfield
72,smiths beach,bass coast
73,smiths gully,nillumbik
74,somerton,hume
75,stavely,ararat
76,stockdale,wellington
77,surrey hills,boroondara whitehorse
78,swanpool,benalla
79,tallarook,mitchell
80,teesdale,golden plains
81,the sisters,moyne
82,tower hill,moyne
83,trafalgar south,baw baw
84,upper lurg,benalla
85,wal wal,northern grampians
86,walpa,east gippsland
87,wandella,gannawarra
88,wangoom,moyne
89,waterways,kingston
90,waurn ponds,greater geelong
